05735453,FREDERIK,HENDRIK,LEEUWRIK,1,,NL,NETHERLANDS,residence	
08112983,MAKOTO,,YAMAMOTO,3,,JP,JAPAN,residence	
08113837,ROBERT,J.,YOUNGQUIST,3,MN,US,,residence	
08113837,DURKEE,B.,RICHARDS,2,MN,US,,residence	
08113837,THEODORE,A.,SCHWARZ,1,WA,US,,residence	
08119281,EDWARD,H.,PHILLIPS,1,MI,US,,residence	
08124146,EDWARD,P.,FOX,1,TX,US,,residence	
08124146,CHANDRU,,KUPPUSWAMY,2,TX,US,,residence	
08126579,RAYMOND,A.,MOBILE,1,IL,US,,residence	
08127791,JOHN,E.,JONES,1,IL,US,,residence	
08127791,JAMES,M.,RASMUSSEN,2,IL,US,,residence	
08128285,SYOUICHI,,TAHATA,2,,JP,JAPAN,residence	
08128285,KAZUO,,TSUBOTA,1,,JP,JAPAN,residence	
08132014,SHIRLEY,M.,NG,4,NJ,US,,residence	
08132014,STANLEY,B.,WROBEL,5,NJ,US,,residence	
08132014,RICHARD,K.,FARNG,1,NJ,US,,residence	
08132014,GERARD,J.,GENDIMENICO,2,NJ,US,,residence	
08132014,JAMES,A.,MEZICK,3,NJ,US,,residence	
08136027,HIROTO,,WATANABE,3,,JP,JAPAN,residence	
08136027,TAIZO,,SAITO,1,,JP,JAPAN,residence	
08136027,NOBUAKI,,NAKANO,2,,JP,JAPAN,residence	
08136027,YOSHIYUKI,,ARAKI,5,,JP,JAPAN,residence	
08136027,TOSHIHISA,,OHNO,4,,JP,JAPAN,residence	
08140393,FREDERIC,,ROUGET,2,,FR,FRANCE,residence	
08140393,LIBERTO,,GANDIA,1,,FR,FRANCE,residence	
08143752,GILLES,,LAMBINET,2,,FR,FRANCE,residence	
08143752,PIERRE,,EHINGER,1,,FR,FRANCE,residence	
08143803,HENRY,A.,ROSSMAIER,4,MI,US,,residence	
08143803,TIMM,L.,KELLY,2,MI,US,,residence	
08143803,JAMES,P.,BERSHAS,1,MI,US,,residence	
08143803,GARY,L.,ROCHFORT,3,MI,US,,residence	
08145564,MARTIN,D.,HEIBERG,1,AZ,US,,residence	
08150964,AUGUST,L.,DETERS,1,,DE,GERMANY,residence	
08150964,UDO,,TEICH,2,,DE,GERMANY,residence	
08150964,FRANK,,ADENHEUER,3,,DE,GERMANY,residence	
08150964,MARTIN,,BROICH,4,,DE,GERMANY,residence	
08156886,DONALD,,MCCALLUM,2,SC,GB,UNITED KINGDOM,residence	
08156886,RONALD,,MULHOLLAND,1,SC,GB,UNITED KINGDOM,residence	
08157450,KYO-SOON,,LEE,1,,KR,"KOREA, REPUBLIC OF",residence	
08159780,RICHARD,D.,BUSCHLE,1,,BR,BRAZIL,residence	
08160160,SHOHEI,,YOSHIDA,3,,JP,JAPAN,residence	
08160160,FUMIO,,KAWAMOTO,1,,JP,JAPAN,residence	
08160160,YOSHIKI,,SAKAINO,2,,JP,JAPAN,residence	
08162827,BJOERN,E.,CHRISTENSEN,2,,DK,DENMARK,residence	
08162827,JILL,A.,WAHLEITHNER,1,CA,US,,residence	
08162827,PALLE,,SCHNEIDER,3,,DK,DENMARK,residence	
08168862,ANTONIO,,GAMBERINI,2,,IT,ITALY,residence	
08168862,ANTONIO,,GIGANTE,1,,IT,ITALY,residence	
08172609,WILL,,HEDDON,1,FL,US,,residence	
08177908,JOSEPH,J.,GEIB,1,IL,US,,residence	
08177908,JUAN,J.,MALAVE,2,IL,US,,residence	
08178758,ITSUSHI,,NAGAMOTO,1,,JP,JAPAN,residence	
08183327,THOMAS,V.,ROCK,1,CO,US,,residence	
08190541,KOICHI,,NAMIKI,1,,JP,JAPAN,residence	
08190541,TAKUYA,,MATSUMOTO,2,,JP,JAPAN,residence	
08190541,TORU,,HASHIMOTO,3,,JP,JAPAN,residence	
08190541,YASUHISA,,YOSHIDA,4,,JP,JAPAN,residence	
08192913,DOUGLASS,L.,BLANDING,1,NY,US,,residence	
08192979,MICHAEL,J.,BERRY,1,TX,US,,residence	
08193081,YOSHIKI,,DEGUCHI,7,,JP,JAPAN,residence	
08193081,IKUO,,SHINOHARA,5,,JP,JAPAN,residence	
08193081,TERUMI,,HACHIYA,4,,JP,JAPAN,residence	
08193081,KOICHI,,BEPPU,3,,JP,JAPAN,residence	
08193081,HISATAKA,,INOUE,2,,JP,JAPAN,residence	
08193081,MASARU,,SAITA,1,,JP,JAPAN,residence	
08193081,YASUAKI,,TANIGUCHI,6,,JP,JAPAN,residence	
08193081,YOSHIHIRO,,HAMAGUCHI,8,,JP,JAPAN,residence	
08193179,CHARLES,J.,SPATAFORE,4,CA,US,,residence	
08193179,A.,BRUCE,MANILDI,2,CA,US,,residence	
08193179,JAMES,U.,LEMKE,1,CA,US,,residence	
08193179,JAMES,C.,CROSBY,3,CA,US,,residence	
08193744,RAYMOND,F.,HART,1,AZ,US,,residence	
08193744,MICHELE,A.,HART,2,AZ,US,,residence	
08193813,ONOFRIO,,SCHILLACI,2,CA,US,,residence	
08193813,MICHAEL,,KENNEDY,1,CA,US,,residence	
08198113,MICHAEL,E.,BALES,1,IN,US,,residence	
08198113,GREGORY,A.,MARTIN,2,IN,US,,residence	
08198113,DOUGLAS,D.,SWANK,3,IN,US,,residence	
08198214,ZHENGZHI,,SHENG,1,AR,US,,residence	
08198214,YING,,XIN,3,AR,US,,residence	
08198214,JOHN,,MEASON,2,AR,US,,residence	
08199028,MASAHIRO,,SAITOH,2,,JP,JAPAN,residence	
08199028,YOSHIHIKO,,MIYAMOTO,1,,JP,JAPAN,residence	
08201924,MASAHARU,,UEDA,2,,JP,JAPAN,residence	
08201924,KAZUO,,SUGINO,3,,JP,JAPAN,residence	
08201924,HIDEAKI,,KAGEYAMA,1,,JP,JAPAN,residence	
08202580,MASAKAZU,,HAYASHI,1,,JP,JAPAN,residence	
08202580,TADASHI,,NAKAHIRA,2,,JP,JAPAN,residence	
08203698,HIRONOBU,,NAKAO,1,,JP,JAPAN,residence	
08203890,PHILIP,R.,HARDAKER,2,MA,US,,residence	
08203890,MARTIN,G.,LOMP,1,MA,US,,residence	
08205169,GLEN,D.,MARTINSON,1,,CA,CANADA,residence	
08205169,MARIAN,M.,BURIN,2,GA,US,,residence	
08212870,JACOB,J.,"SWANKO, II",2,FL,US,,residence	
08212870,DAN,P.,MAY,1,FL,US,,residence	
08215902,ANDREW,J.S.,SNEATH,1,,GB,UNITED KINGDOM,residence	
08219267,YASUO,,IGARASHI,1,,JP,JAPAN,residence	
08219267,RYOZO,,OKADA,4,,JP,JAPAN,residence	
08219267,KAZUHIRO,,HIROSE,3,,JP,JAPAN,residence	
08219267,TORU,,FUKUMOTO,2,,JP,JAPAN,residence	
08224074,CHRISTIAN,,RADELOFF,2,,DE,GERMANY,residence	
08224074,GERNOT,,HAUSCH,1,,DE,GERMANY,residence	
08224074,GERD,,RAUSCHER,3,,DE,GERMANY,residence	
08228968,KAZUHIKO,,MURAKAWA,1,,JP,JAPAN,residence	
08229482,NAI-CHI,,LEE,1,NY,US,,residence	
08233308,FOUAD,A.,SALAMA,1,IA,US,,residence	
08234231,MICHAEL,E.,WILHOYTE,2,CA,US,,residence	
08234231,BART,F.,RICE,1,CA,US,,residence	
08235876,SATOSHI,,SUGAWA,2,,JP,JAPAN,residence	
08235876,ATSUSHI,,YANAGIDA,3,IN,US,,residence	
08235876,MICHIO,,ITO,1,,JP,JAPAN,residence	
08240012,ZHIQIANG,,PAN,2,AZ,US,,residence	
08240012,RALPH,A.,BACKHAUS,1,AZ,US,,residence	
08241951,CHARLES,M.,EHMANN,4,FL,US,,residence	
08241951,RONALD,L.,BANE,3,FL,US,,residence	
08241951,JEFFREY,W.,KLINGBERG,2,TX,US,,residence	
08241951,ERIC,S.,GOLDSMITH,1,FL,US,,residence	
08245361,THOMAS,,MCGAFFIGAN,1,CA,US,,residence	
08247445,STEVEN,K.,KNAPP,2,CA,US,,residence	
08247445,ALAN,Y.,HUANG,1,CA,US,,residence	
08247445,SANJEEV,,KWATRA,3,CA,US,,residence	
08247916,TIMOTHY,J.,ROTH,1,PA,US,,residence	
08247916,WILLIAM,R.,WELLIVER,2,NJ,US,,residence	
08252403,LUC,,JONCKHEERE,2,,BE,BELGIUM,residence	
08252403,DANNY,,MORLION,1,,BE,BELGIUM,residence	
08255014,RALPH,E.,SIPPLE,3,MN,US,,residence	
08255014,DAVID,R.,JOHNSON,2,MN,US,,residence	
08255014,DONN,B.,BAKER,1,MN,US,,residence	
08257676,MASAHARU,,KAWAKUBO,1,,JP,JAPAN,residence	
08259975,KEIJI,,HISAHARA,1,,JP,JAPAN,residence	
08266390,KUNIHIRO,,INAMATSU,1,,JP,JAPAN,residence	
08266390,TSUYOSHI,,MATSUMOTO,2,,JP,JAPAN,residence	
08266390,KAZUO,,SOGA,3,,JP,JAPAN,residence	
08267840,DAVID,K.,CHEUNG,1,CA,US,,residence	
08267840,EGBERT,,GRAEVE,2,CA,US,,residence	
08268923,ALDEN,R.,MILES,2,MN,US,,residence	
08268923,TIMOTHY,A.,MERTENS,1,MN,US,,residence	
08274314,MARVIN,W.,BUTLER,1,WI,US,,residence	
08275356,TETSURO,,HIRAKI,1,,JP,JAPAN,residence	
08277771,CHANDRASHEKAR,M.,REDDY,1,CA,US,,residence	
08277771,MEELING,,ROBERTS,6,CA,US,,residence	
08277771,STEVEN,M.,FARRER,5,CA,US,,residence	
08277771,JAMES,P.,KARDACH,4,CA,US,,residence	
08277771,SUNG-SOO,,CHO,3,CA,US,,residence	
08277771,SCOTT,D.,HIROSE,2,CA,US,,residence	
08279339,GERHARD,,BRINGMANN,1,,DE,GERMANY,residence	
08279339,SVEN,,HARMSEN,2,,DE,GERMANY,residence	
08279339,MICHAEL,R.,BOYD,3,MD,US,,residence	
08280817,TATSUO,,KIMURA,1,,JP,JAPAN,residence	
08283166,YASUYUKI,,SAKURADA,1,,JP,JAPAN,residence	
08283283,HERSCHEL,,ANDERSON,2,MO,US,,residence	
08283283,ANLYNNE,M.,HANSEN,1,OH,US,,residence	
08290235,STEVEN,,TSENGAS,1,OH,US,,residence	
08294348,HIDEOMI,,WATANABE,2,,JP,JAPAN,residence	
08294348,TSUTOMU,,OKITA,1,,JP,JAPAN,residence	
08294348,HIROSHI,,HASHIMOTO,5,,JP,JAPAN,residence	
08294348,MASAKI,,SATAKE,4,,JP,JAPAN,residence	
08294348,TOSHIO,,ISHIDA,3,,JP,JAPAN,residence	
08294480,ALAN,A.,FIGLER,4,WA,US,,residence	
08294480,ALEANDRO,,DIGIANFILIPPO,2,AZ,US,,residence	
08294480,RICHARD,,PIERCE,3,IL,US,,residence	
08294480,ROBERT,R.,MCCLENDON,1,AZ,US,,residence	
08295193,ROBERT,G. J.,STIRT,2,CT,US,,residence	
08295193,GARY,P.,PETERS,1,CT,US,,residence	
08296263,STEFAN,G.,LITTIG,2,IL,US,,residence	
08296263,MICHAEL,J.,SCHELLINGER,1,IL,US,,residence	
08298833,HIDETOSHI,,TAKASUGI,5,,JP,JAPAN,residence	
08298833,TAKEO,,KOMIYA,2,,JP,JAPAN,residence	
08298833,KEIJI,,OSAKA,1,,JP,JAPAN,residence	
08298833,KAZUHIKO,,ARIMOTO,6,,JP,JAPAN,residence	
08298833,YASUO,,ASANO,3,,JP,JAPAN,residence	
08298833,TOMOMI,,SANO,4,,JP,JAPAN,residence	
08303111,MATAHIRO,,KOMURO,1,,JP,JAPAN,residence	
08303111,KATSUYA,,MITSUOKA,3,,JP,JAPAN,residence	
08303111,HIROSHI,,FUKUI,4,,JP,JAPAN,residence	
08303111,HIROTSUGU,,FUKUOKA,5,,JP,JAPAN,residence	
08303111,MORIAKI,,FUYAMA,6,,JP,JAPAN,residence	
08303111,HIROYUKI,,HOSHIYA,2,,JP,JAPAN,residence	
08304558,HIDEKI,,NAGANO,2,,JP,JAPAN,residence	
08304558,YOSHIYUKI,,NAGATAKI,1,,JP,JAPAN,residence	
08304894,YING-KUON,,HO,1,,TW,TAIWAN,residence	
08312116,DIDIER,,BABIN,1,,FR,FRANCE,residence	
08312116,JEAN-PIERRE,,DEMOUTE,3,,FR,FRANCE,residence	
08312116,MARC,,BENOIT,2,,FR,FRANCE,residence	
08312705,YAW-SHIN,,FANN,1,,TW,TAIWAN,residence	
08312705,SAN-YI,,LIN,2,,TW,TAIWAN,residence	
08312705,LAN-KUN,,DON,4,,TW,TAIWAN,residence	
08312705,CHING-CHUAN,,KUO,3,,TW,TAIWAN,residence	
08315028,ALEXANDER,,BAJRASZEWSKI,1,MI,US,,residence	
08315028,DAVID,H.,DODDS,2,MI,US,,residence	
08315028,GREG,T.,PEZDA,3,MI,US,,residence	
08316673,PAUL,R.,WEIDER,5,TX,US,,residence	
08316673,THOMAS,C.,SEMPLE,4,TX,US,,residence	
08316673,THOMAS,C.,FORSCHNER,3,TX,US,,residence	
08316673,LYNN,H.,SLAUGH,2,TX,US,,residence	
08316673,JOSEPH,B.,POWELL,1,TX,US,,residence	
08317287,VICTOR,H.,FRANKEL,2,NY,US,,residence	
08317287,FREDERICK,J.,KUMMER,1,NY,US,,residence	
08318627,PHILIP,,LESTER,3,CA,US,,residence	
08318627,DAVID,,REIFSNYDER,5,CA,US,,residence	
08318627,ROGER,,HART,2,CA,US,,residence	
08318627,STUART,,BUILDER,1,CA,US,,residence	
08318627,JOHN,,OGEZ,4,CA,US,,residence	
08319099,MASAO,,KUNITOU,1,,JP,JAPAN,residence	
08321933,MARK,,MADDEN,2,CA,US,,residence	
08321933,WILLEM,P.C.,STEMMER,3,CA,US,,residence	
08321933,LOIS,,ALDWIN,1,CA,US,,residence	
08322599,GEORGE,,SCHEELE,1,MA,US,,residence	
08322599,SHIN-ICHI,,FUKUOKA,2,MA,US,,residence	
08323884,CHIAKI,,GOTO,1,,JP,JAPAN,residence	
08327286,KENNETH,D.,HUGHES,1,GA,US,,residence	
08338801,CLAUDE,,REBOURS,1,,FR,FRANCE,residence	
08338801,GERARD,,BARBE,2,,FR,FRANCE,residence	
08344148,RAMON,,ALARCON,2,CA,US,,residence	
08344148,LOUIS,B,ROSENBERG,1,CA,US,,residence	
08345682,HARUKI,,TODA,1,,JP,JAPAN,residence	
08349728,REGINALD,T.,CHARLSON,1,CA,US,,residence	
08355112,SUSAN,M.,SHELOR,3,GA,US,,residence	
08355112,ELLWOOD,L.,LINES,4,GA,US,,residence	
08355112,HENRY,D.,CAUGHMAN,2,GA,US,,residence	
08355112,RONALD,L.,JONES,1,GA,US,,residence	
08361041,COLIN,,HOUGH,8,,GB,UNITED KINGDOM,residence	
08361041,SATOSHI,,KOBAYASHI,1,,JP,JAPAN,residence	
08361041,TOSHIKAZU,,YOKOI,2,,JP,JAPAN,residence	
08361041,KUNIO,,TAKAHARI,3,,JP,JAPAN,residence	
08361041,YOICHI,,NAKAMURA,4,,JP,JAPAN,residence	
08361041,JUNICHI,,ISHIKAWA,5,,JP,JAPAN,residence	
08361041,NIGEL,,BRUCE,6,,GB,UNITED KINGDOM,residence	
08361041,DAVID,,WRIGHT,7,,GB,UNITED KINGDOM,residence	
08361566,TORU,,MATSUKI,1,,JP,JAPAN,residence	
08361566,MASAYUKI,,TAKAHASHI,2,,JP,JAPAN,residence	
08362225,KENNETH,C.,HAUSER,1,MI,US,,residence	
08363148,ROGER,,LOK,1,NY,US,,residence	
08363148,ANTONY,J.,WILLIAMS,2,NY,US,,residence	
08365343,DONALD,D.,HICKS,1,MT,US,,residence	
08368869,KENNETH,L.,BRAUN,1,IN,US,,residence	
08369849,DOUGLAS,S.,RANSOM,3,,CA,CANADA,residence	
08369849,GREGORY,R.,LOUCKS,1,,CA,CANADA,residence	
08369849,OLAF,O. W.,DRAVNIEKS,4,,CA,CANADA,residence	
08369849,RONALD,G.,HART,7,,CA,CANADA,residence	
08369849,MICHAEL,E.,TEACHMAN,6,,CA,CANADA,residence	
08369849,DAVID,A.,CHIVERS,5,,CA,CANADA,residence	
08369849,CHUEN,S. S.,KI,2,,CA,CANADA,residence	
08369898,CARL,D.,ACKERMAN,1,PA,US,,residence	
08371936,BRUCE,M.,BALES,1,CO,US,,residence	
08373180,BERNARD,E.,SIGMON,1,AZ,US,,residence	
08374914,JONG,Y.,HONG,2,,KR,"KOREA, REPUBLIC OF",residence	
08374914,DONG,I.,CHANG,5,,KR,"KOREA, REPUBLIC OF",residence	
08374914,BYEONG,G.,LEE,4,,KR,"KOREA, REPUBLIC OF",residence	
08374914,KI,W.,LEE,3,,KR,"KOREA, REPUBLIC OF",residence	
08374914,CHANG,M.,YANG,1,,KR,"KOREA, REPUBLIC OF",residence	
08376323,LEE,D.,OLDFIELD,1,NY,US,,residence	
08377789,TOSHIYUKI,,UDO,2,,JP,JAPAN,residence	
08377789,KENICHI,,KAWAMOTO,1,,JP,JAPAN,residence	
08382192,NOBUO,,OGAWA,1,,JP,JAPAN,residence	
08382980,SIEGFRIED,E.,TISCHLER,1,,ID,INDONESIA,residence	
08383042,BERNARD,R.,PIERCE,2,NY,US,,residence	
08383042,CATHERINE,K.,EILERT,1,NY,US,,residence	
08389326,DIANA,R.,KORETSKY,4,MA,US,,residence	
08389326,DAVID,A.,JOHNSON,3,SC,US,,residence	
08389326,AGOTA,F.,FEHERVARI,2,MA,US,,residence	
08389326,DAVID,W.,AVISON,1,MA,US,,residence	
08390693,GENE,C.,SUTTLE,1,AL,US,,residence	
08393764,JAMES,W.,GRENNING,1,IL,US,,residence	
08393764,ROBERT,L.,FAWLEY,2,IL,US,,residence	
08394128,CHARLES,E.,POMEROY,4,CA,US,,residence	
08394128,TITO,H.,SANTIAGO,3,CA,US,,residence	
08394128,BART,J.,VAN SCHRAVENDIJK,1,CA,US,,residence	
08394128,CHRISTOPHER,W.,BURKHART,2,CA,US,,residence	
08394128,JEFFREY,W.,LIND,5,CA,US,,residence	
08394490,JOHN,A.,BRAUN,1,NJ,US,,residence	
08394490,FRANK,,OCCIDENTALE,2,NJ,US,,residence	
08397928,MITSUO,,YANAGISAWA,1,,JP,JAPAN,residence	
08400995,KYU,CHAN,LEE,1,,KR,"KOREA, REPUBLIC OF",residence	
08402127,JAMES,J.,CAVALLUZZI,2,WI,US,,residence	
08402127,JAMES,T.,HAASCH,1,WI,US,,residence	
08404115,KEIICHIRO,,SHIMADA,1,,JP,JAPAN,residence	
08404115,SUNAO,,FURUI,2,,JP,JAPAN,residence	
08408067,HAIG,,VARTANIAN,1,PA,US,,residence	
08408773,GROVER,P.,SHAW,1,CO,US,,residence	
08408810,JOHN,K.,HOWIE,2,OH,US,,residence	
08408810,PATRICK,J.,CORRIGAN,1,OH,US,,residence	
08412382,ROLF,L.,GEERTS,1,OK,US,,residence	
08415720,JOON,,HWANG,1,,KR,"KOREA, REPUBLIC OF",residence	
08418105,KAZUO,,MATSUZAKI,1,,JP,JAPAN,residence	
08419515,STUART,,RAYNOLDS,1,DE,US,,residence	
08419515,ROBERT,H.,DETTRE,2,DE,US,,residence	
08419540,SHUZO,,SEO,1,,JP,JAPAN,residence	
08421196,MANFRED,,URBAN,1,,DE,GERMANY,residence	
08424407,DAVID,F.,FARNSWORTH,1,OR,US,,residence	
08440854,ROBERT,I.,GREENE,2,IL,US,,residence	
08440854,STEPHEN,V.,CAHILL,3,IL,US,,residence	
08440854,THOMAS,J.,WALCZAK,1,IL,US,,residence	
08440854,JOHN,W.,DIEHL,4,IL,US,,residence	
08441364,JIMMY,R.,SMITH,1,TN,US,,residence	
08454151,SUSUMU,,IWASA,3,,JP,JAPAN,residence	
08454151,AKIKO,,WATANABE,2,,JP,JAPAN,residence	
08454151,JUN,,SATO,1,,JP,JAPAN,residence	
08458426,DONALD,J.,BURTH,1,OH,US,,residence	
08459569,DAVID,A.,TEPFER,2,,FR,FRANCE,residence	
08459569,JERRY,L.,SLIGHTOM,1,MI,US,,residence	
08462157,DAVID,T.R.,ELLENOR,2,,CA,CANADA,residence	
08462157,JOHN,N.,HARBINSON,3,,CA,CANADA,residence	
08462157,JAMES,W.,SMITH,1,CA,US,,residence	
08464255,JAMES,M.,LEE,1,CA,US,,residence	
08464255,AXEL,,ULLRICH,2,CA,US,,residence	
08469273,MARTIN,D.J.,KENIG,1,EN,GB,UNITED KINGDOM,residence	
08469273,RICHARD,A.,VERE HODGE,2,EN,GB,UNITED KINGDOM,residence	
08476686,KENNETH,W.,LESENKO,1,NJ,US,,residence	
08478526,TADASHI,,SHIBATA,1,,JP,JAPAN,residence	
08478526,RYOTA,,FUJIO,2,,JP,JAPAN,residence	
08480663,SHAWN,P.,LAWLOR,1,WA,US,,residence	
08490610,ROBERT,W.,BROCIA,1,NY,US,,residence	
08493796,BARRY,M.,LUNT,3,UT,US,,residence	
08493796,R.,SCOTT,MERRELL,2,UT,US,,residence	
08493796,A.,BRENT,STRONG,1,UT,US,,residence	
08497330,FUTOSHI,,NISHIOKA,1,,JP,JAPAN,residence	
08497330,TETSUSHI,,HOSOKAI,2,,JP,JAPAN,residence	
08502876,BENGT,,SODERGARD,1,,SE,SWEDEN,residence	
08504052,JAMES,M.,PAUL,1,TX,US,,residence	
08504052,R.,MICHAEL,DAVIS,2,TX,US,,residence	
08504133,YOSHINAO,,HARADA,2,,JP,JAPAN,residence	
08504133,HIROAKI,,ANDO,3,,JP,JAPAN,residence	
08504133,FUKUDOME,,YOSHIHITO,1,,JP,JAPAN,residence	
08510233,JOON,K.,HONG,1,,KR,"KOREA, REPUBLIC OF",residence	
08510233,DONG,S.,CHUN,2,,KR,"KOREA, REPUBLIC OF",residence	
08514162,DAVID,T.,BELLINGER,1,GA,US,,residence	
08514162,ISABELLE,R.,MOSS,2,GA,US,,residence	
08515364,NATALIE,,BATTISTA,1,PA,US,,residence	
08516802,BARUCH,,TAMIR,2,NY,US,,residence	
08516802,SAMUEL,,GEFFEN,3,NY,US,,residence	
08516802,GIORA,,TAMIR,1,NY,US,,residence	
08524325,PEKKA,,LONKA,1,,FI,FINLAND,residence	
08524325,KARI,,AITTOKANGAS,2,,FI,FINLAND,residence	
08526884,SATOSHI,,MATSUURA,1,,JP,JAPAN,residence	
08528801,JOSEPH,Y.,MARGULIES,1,NY,US,,residence	
08528837,KJELL,T.,MAGNUSSON,2,,SE,SWEDEN,residence	
08528837,HANS,I.,ASTROM,1,,SE,SWEDEN,residence	
08529000,MICHAEL,J.,STRINGER,2,MI,US,,residence	
08529000,DOUGLAS,W.,BEBENSEE,1,MI,US,,residence	
08530027,EIJI,,HANKUI,1,,JP,JAPAN,residence	
08530027,TAKASHI,,HARADA,2,,JP,JAPAN,residence	
08532270,RICHARD,A.,MONROE,1,NY,US,,residence	
08533897,GUO,P.,CHEN,2,,JP,JAPAN,residence	
08533897,TADASHI,,KONNO,1,,JP,JAPAN,residence	
08537456,KIYOSHIGE,,OKANO,1,,JP,JAPAN,residence	
08539933,JAMES,E.,CHASEN,1,CT,US,,residence	
08539933,PETER,A.,CZERNER,2,CT,US,,residence	
08541845,JOHN,J.,KARDASH,1,CA,US,,residence	
08542833,PAUL,S.,FILIPSKI,2,CA,US,,residence	
08542833,PAUL,,BACCHI,1,CA,US,,residence	
08543356,BARRY,G.,AUSTIN,1,MI,US,,residence	
08546513,JOHN,AVERY,HOWARD,1,CA,US,,residence	
08546669,AARON,,JOHANSEN,1,NY,US,,residence	
08547972,ALBERT,V.,CAWTHON,1,NJ,US,,residence	
08550081,HIROAKI,,ASUMA,2,,JP,JAPAN,residence	
08550081,SHIGERU,,MATSUYAMA,1,,JP,JAPAN,residence	
08551430,ALBERTO,,DAL LAGO,1,,IT,ITALY,residence	
08556812,MICHAEL,A.,MASINI,1,MI,US,,residence	
08557478,KUNIAKI,,UTSUMI,2,,JP,JAPAN,residence	
08557478,KATSUYUKI,,FUJITO,3,,JP,JAPAN,residence	
08557478,HIROAKI,,YAMAMOTO,1,,JP,JAPAN,residence	
08558032,MICHAEL,,KINION,1,OR,US,,residence	
08563531,DANA,,EMMERSON,1,,CA,CANADA,residence	
08568161,JOHN,S.,WALLEY,1,CA,US,,residence	
08571329,KARI,,TORKKOLA,1,AZ,US,,residence	
08571517,KLAUS,,DERKSEN,1,,DE,GERMANY,residence	
08572051,CHARLES,L.,URSO,1,MA,US,,residence	
08576715,THOMAS,A.,BETT,1,WI,US,,residence	
08578344,MASAHIRO,,INOUE,1,,JP,JAPAN,residence	
08578344,YUJI,,SAKEMI,2,,JP,JAPAN,residence	
08579888,TAKAKIYO,,GOTO,4,,JP,JAPAN,residence	
08579888,TOMOKI,,GOMI,3,,JP,JAPAN,residence	
08579888,TORU,,INAOKA,2,,JP,JAPAN,residence	
08579888,YOSHIYUKI,,HOZUMI,1,,JP,JAPAN,residence	
08579888,KENJI,,RAKUTANI,6,,JP,JAPAN,residence	
08579888,TORU,,UNO,5,,JP,JAPAN,residence	
08582116,MEI,L.,LIN,1,,TW,TAIWAN,residence	
08586759,ANTHONY,P.,HULBERT,1,,GB,UNITED KINGDOM,residence	
08588169,FUTOSHI,,OIKE,1,,JP,JAPAN,residence	
08589749,KATHLEEN,E.,KILMER,1,NY,US,,residence	
08591386,PETER,J. A.,VAN DER MEER,1,,NL,NETHERLANDS,residence	
08594765,LUC,,JONCKHEERE,2,,BE,BELGIUM,residence	
08594765,DANNY,,MORLION,1,,BE,BELGIUM,residence	
08594765,JAN,P.K.,VAN KOETSEM,3,,BE,BELGIUM,residence	
08595539,JARMO,,LAITINEN,1,,FI,FINLAND,residence	
08598279,SATOSHI,,TERAMOTO,1,,JP,JAPAN,residence	
08600350,CARL,,SHUMAKER,2,KY,US,,residence	
08600350,RAMAMUTHY,K.,VISWANADHAM,1,KY,US,,residence	
08601361,TOSHIHIKO,,TANAKA,1,,JP,JAPAN,residence	
08601361,NAOKO,,ASAI,3,,JP,JAPAN,residence	
08601361,SHOICHI,,UCHINO,2,,JP,JAPAN,residence	
08602063,SABINE,,SCHOEN,2,,DE,GERMANY,residence	
08602063,KAZUAKI,,TARUMI,3,,DE,GERMANY,residence	
08602063,EKKEHARD,,BARTMANN,1,,DE,GERMANY,residence	
08603124,MILIND,,BODAS,1,CA,US,,residence	
08604546,ISAO,,EBISAWA,2,,JP,JAPAN,residence	
08604546,HIDEHIKO,,KANDA,4,,JP,JAPAN,residence	
08604546,HISAO,,YAEGASHI,3,,JP,JAPAN,residence	
08604546,ATSUSHI,,ARAI,1,,JP,JAPAN,residence	
08607463,HIRONORI,,IMURA,1,,JP,JAPAN,residence	
08612276,GEORGE,E.,KLETT,1,NM,US,,residence	
08612648,JOHN,F.,GAURONSKI,3,NY,US,,residence	
08612648,MICHAEL,E.,FARRELL,1,NY,US,,residence	
08612648,RANDALL,R.,HUBE,2,NY,US,,residence	
08615841,TIEN-TSAI,,HUANG,1,,TW,TAIWAN,residence	
08617399,KENJI,,OHTA,1,,JP,JAPAN,residence	
08617399,MITSUO,,KITAMURA,2,,JP,JAPAN,residence	
08618641,STEVEN,,DAVIDSON,1,MA,US,,residence	
08619169,MITSUHIKO,,NODA,1,,JP,JAPAN,residence	
08620159,SHUICHI,,MATSUI,2,,JP,JAPAN,residence	
08620159,KAZUTOSHI,,MIYAZAWA,3,,JP,JAPAN,residence	
08620159,ATSUKO,,FUJITA,1,,JP,JAPAN,residence	
08622054,WOLFHARD,,SCHWARZ,2,,DE,GERMANY,residence	
08622054,GUNTER,,SPATZ,1,,DE,GERMANY,residence	
08622519,DIETER,,LANG,2,,DE,GERMANY,residence	
08622519,ANDREAS,,HUBER,1,,DE,GERMANY,residence	
08622818,MYEONG,S.,CHANG,1,,KR,"KOREA, REPUBLIC OF",residence	
08625689,HANS,,LYDTIN,2,,DE,GERMANY,residence	
08625689,GEORG,,GARTNER,1,,DE,GERMANY,residence	
08626029,HARUO,,KUNITOMO,5,,JP,JAPAN,residence	
08626029,MICHIKAZU,,HORIE,4,,JP,JAPAN,residence	
